296;ME Headway Measurement
297;ME LDW Off
298;ME Left LDW On
299;ME Right LDW On
300;ME Maintenance
301;ME Fail Safe
302;ME FCW On
303;ME TSR Enabled
304;ME Headway Warning Repeat Enabled
305;ME Headway Warning Level
306;ME TSR Warning Level
307;ME Tamper Alert
308;ME High Beam
309;ME Low Beam
310;ME Wipers
311;ME Right Signal
312;ME Left Signal
313;ME Brake Signal
314;ME Wipers Available
315;ME Low Beam Available
316;ME High Beam Available
317;ME Speed Available
318;ME Speed
319;ME TSR 1
320;ME TSR 2
321;ME TSR 3
322;ME TSR 4
323;ME TSR 5
324;ME TSR 6
325;ME TSR 7
326;ME TSR VO
10189;Total Tires
10190;Total Axles
10191;Graphical Position
10192;Tire 1 pressure
10193;Tire 2 pressure
10194;Tire 3 pressure
10195;Tire 4 pressure
10196;Tire 5 pressure
10197;Tire 6 pressure
10198;Tire 7 pressure
10199;Tire 8 pressure
10200;Tire 9 pressure
10201;Tire 10 pressure
10202;Tire 11 pressure
10203;Tire 12 pressure
10204;Tire 13 pressure
10205;Tire 14 pressure
10206;Tire 15 pressure
10207;Tire 16 pressure
10208;Tire 17 pressure
10209;Tire 18 pressure
10210;Tire 19 pressure
10211;Tire 20 pressure
10212;Tire 21 pressure
10213;Tire 22 pressure
10214;Tire 23 pressure
10215;Tire 24 pressure
10360;Tire 1 Temperature
10361;Tire 1 Warning
10362;Tire 2 Temperature
10363;Tire 2 Warning
10364;Tire 3 Temperature
10365;Tire 3 Warning
10366;Tire 4 Temperature
10367;Tire 4 Warning
10368;Tire 5 Temperature
10369;Tire 5 Warning
10370;Tire 6 Temperature
10371;Tire 6 Warning
10372;Tire 7 Temperature
10373;Tire 7 Warning
10374;Tire 8 Temperature
10375;Tire 8 Warning
10376;Tire 9 Temperature
10377;Tire 9 Warning
10378;Tire 10 Temperature
10379;Tire 10 Warning
10380;Tire 11 Temperature
10381;Tire 11 Warning
10382;Tire 12 Temperature
10383;Tire 12 Warning
10384;Tire 13 Temperature
10385;Tire 13 Warning
10386;Tire 14 Temperature
10387;Tire 14 Warning
10388;Tire 15 Temperature
10389;Tire 15 Warning
10390;Tire 16 Temperature
10391;Tire 16 Warning
10392;Tire 17 Temperature
10393;Tire 17 Warning
10394;Tire 18 Temperature
10395;Tire 18 Warning
10396;Tire 19 Temperature
10397;Tire 19 Warning
10398;Tire 20 Temperature
10399;Tire 20 Warning
10400;Tire 21 Temperature
10401;Tire 21 Warning
10402;Tire 22 Temperature
10403;Tire 22 Warning
10404;Tire 23 Temperature
10405;Tire 23 Warning
10406;Tire 24 Temperature
10407;Tire 24 Warning
10045;Zone 1 Compartment state
10046;Zone 1 Compartment mode
10047;Zone 1 Return Air Sensor 1
10048;Zone 1 Supply Air Sensor 1
10049;Zone 1 Set Temperature
10050;Zone 1 Evaporator temperature
10051;Zone 1 Return Air Sensor 2
10052;Zone 1 Supply Air Sensor 2
10056;Zone 2 Return Air Sensor 1
10057;Zone 2 Supply Air Sensor 1
10058;Zone 2 Set Temperature
10059;Zone 2 Evaporator temperature
10060;Zone 2 Return Air sensor 2
10061;Zone 2 Supply Air sensor 2
10063;Zone 3 Compartment state
10064;Zone 3 Compartment mode
10065;Zone 3 Return Air sensor 1
10066;Zone 3 Supply Air sensor 1
10067;Zone 3 Set Temperature
10068;Zone 3 Evaporator temperature
10069;Zone 3 Return Air sensor 2
10070;Zone 3 Supply Air sensor 2
10071;Zone 3 Operating Mode
10350;Ambient Air Temperature
10351;Compressor Coolant Temperature
10353;Compressor RPM
10354;Compressor Config
10356;Installation Serial
10468;Analog Input 1
10469;Analog Input 2
10470;Analog Input 3
10472;Manufacturer ID
10473;Battery State Flags
10474;Fuel state flags
10475;Maintenance 1 Hours
10476;Maintenance 2 Hours
10477;Maintenance 3 Hours
10478;Maintenance 4 Hours
10479;Maintenance 5 Hours
10480;Run Mode
10639;Error Codes
10644;Temperature Probe 1
10645;Temperature Probe 2
10646;Temperature Probe 3
10647;Temperature Probe 4
10648;Temperature Probe 5
10649;Temperature Probe 6
10683;Temperature 1
10684;Temperature 2
10685;Temperature 3
10686;Temperature 4
10687;Status 1
10688;Status 2
10689;Status 3
10690;Status 4
10691;Alarm 1
10692;Alarm 2
10693;Alarm 3
10694;Alarm 4
484;External Sensor Temperature 1
485;External Sensor Temperature 2
486;External Sensor Temperature 3
487;External Sensor Temperature 4
488;External Sensor Temperature 5
489;External Sensor Temperature 6
10464;External Digital Sensor 1
10465;External Digital Sensor 2
10466;External Digital Sensor 3
10467;External Digital Sensor 4
10695;Input 1
10696;Input 2
10697;Input 3
10698;Input 4
10699;Input 5
10700;Input 6
10701;Setpoint 1
10702;Setpoint 2
10703;Setpoint 3
10456;FerryTrainStatus
10879;High voltage battery voltage
10880;High voltage battery current
10881;Internal Charger Status
10882;Generic state of charge
10883;Ignition
10884;External Energy Source Connection Status
10885;Seatbelt switch
10886;EVSE1 AC RMS Current
10887;EVSE1 AC RMS Voltage
10888;DC Charging State
10889;High Voltage Battery Highest Cell Temperature
10890;High Voltage Battery Lowest Cell Temperature
10891;Propulsion Motor Coolant Fan 1 Control Temperature
10892;Air Conditioner Compressor Status
10893;High Voltage Battery Temperature
10894;HVESS Thermal Management System Heater Status
10895;Fuel Supply Estimated Remaining Distance
10896;Trailer Weight
10897;Cargo Weight
10898;Powered Vehicle Weight
10899;Gross Combination Vehicle Weight
10901;Highest cell voltage
10902;Lowest cell voltage
10903;HVESS Nominal Rated Capacity
10904;HVESS State of Health
12301;iCam DualCam1 Front State
12302;iCam DualCam1 Rear State
12303;iCam DashCam1 State
12304;iCam DualCam2 Front State
12305;iCam DualCam2 Rear State
12306;iCam DashCam2 State
11700;DSM drowsiness event 1
12923;DSM drowsiness event 2
11701;DSM distraction event 1
12924;DSM distraction event 2
11702;DSM yawning event 1
12925;DSM yawning event 2
11703;DSM phone event 1
12926;DSM phone event 2
11704;DSM smoking event 1
12927;DSM smoking event 2
11705;DSM driver absence event 1
12928;DSM driver absence event 2
11706;DSM mask event 1
12929;DSM mask event 2
11707;DSM G-sensor event 1
12930;DSM G-sensor event 2
11708;DSM active driver name 1
12931;DSM active driver name 2
11709;DSM recording status 1
12932;DSM recording status 2
11710;DSM GPS status 1
12933;DSM GPS status 2
11711;DSM speed 1
12934;DSM speed 2
11712;DSM error code 1
12935;DSM error code 2
11713;DSM seatbelt detection 1
12936;DSM seatbelt detection 2
11714;DSM state 1
12937;DSM state 2
12400;Groundspeed of a machine
12401;Ground based distance
12402;Ground based direction
12403;Wheel speed of a machine
12404;Wheel based distance
12405;Maximum time of tractor power
12406;Wheel based direction
12407;Key switch state
12408;Start/Stop state
12409;Maintain ECU power
12410;Maintain actuator power
12411;Implement transport state
12412;Implement park state
12413;Implement work state
12414;Front hitch position
12415;Front hitch in-work indication
12416;Front nominal lower link force
12417;Front draft
12418;Rear hitch position
12419;Rear hitch in-work indication
12420;Rear nominal lower link force
12421;Rear draft
12422;Front PTO output shaft speed
12423;Front PTO shaft speed point
12424;Front PTO engagement
12425;Front PTO mode
12426;Front PTO economy mode
12427;Rear PTO output shaft speed
12428;Rear PTO shaft speed point
12429;Rear PTO engagement
12430;Rear PTO mode
12431;Rear PTO economy mode
12432;Front hitch position command
12433;Rear hitch position command
12434;Front Shaft speed set point command
12435;Rear Shaft speed set point command
12436;Front PTO engagement command
12437;Rear PTO engagement command
12438;Front PTO mode command
12439;Rear PTO mode command
12440;Front PTO economy mode command
12441;Rear PTO economy mode command
12442;Auxil ext valve number 0
12443;Auxil ext valve number 1
12444;Auxil ext valve number 2
12445;Auxil ext valve number 3
12446;Auxil ext valve number 4
12447;Auxil ext valve number 5
12448;Auxil ext valve number 6
12449;Auxil ext valve number 7
12450;Auxil ext valve number 8
124451;Auxil ext valve number 9
12452;Auxil ext valve number 10
12453;Auxil ext valve number 11
12454;Auxil ext valve number 12
12455;Auxil ext valve number 13
12456;Auxil ext valve number 14
12457;Auxil ext valve number 15
12458;Auxil ret valve number 0
12459;Auxil ret valve number 1
12460;Auxil ret valve number 2
12461;Auxil ret valve number 3
12462;Auxil ret valve number 4
12463;Auxil ret valve number 5
12464;Auxil ret valve number 6
12465;Auxil ret valve number 7
12466;Auxil ret valve number 8
12467;Auxil ret valve number 9
12468;Auxil ret valve number 10
12469;Auxil ret valve number 11
12470;Auxil ret valve number 12
12471;Auxil ret valve number 13
12472;Auxil ret valve number 14
12473;Auxil ret valve number 15
12474;0 valve fail safe state
12475;1 valve fail safe state
